id,title,tags,prereqs,difficulty,est_hours,resources,category
ai_fundamentals,Introduction to Artificial Intelligence,Artificial Intelligence;AI;fundamentals,,1,4,article:AI - Wikipedia|url:https://en.wikipedia.org/wiki/Artificial_intelligence|video:Intro to AI (freeCodeCamp)|url:https://www.youtube.com/watch?v=JMUxmLyrhSk|interactive:Google AI Experiments|url:https://experiments.withgoogle.com/collection/ai,Artificial Intelligence
ml_intro,Machine Learning Basics,Artificial Intelligence;Machine Learning;ml,ai_fundamentals,2,8,video:Machine Learning Crash Course (Google)|url:https://developers.google.com/machine-learning/crash-course|article:Hands-On ML overview (scikit-learn)|url:https://scikit-learn.org/stable/tutorial/index.html|interactive:Google Colab tutorial|url:https://colab.research.google.com/,Artificial Intelligence
nlp_intro,Natural Language Processing Basics,Artificial Intelligence;NLP,ml_intro,3,6,article:NLP - Wikipedia|url:https://en.wikipedia.org/wiki/Natural_language_processing|video:NLP Crash Course (freeCodeCamp)|url:https://www.youtube.com/watch?v=8uY2k1pGZqQ|interactive:NLTK book online|url:https://www.nltk.org/book/,Artificial Intelligence
dl_intro,Deep Learning Fundamentals,Artificial Intelligence;Deep Learning;neural networks,ml_intro,3,10,article:Deep learning (Wikipedia)|url:https://en.wikipedia.org/wiki/Deep_learning|video:Deep Learning Crash Course|url:https://www.youtube.com/watch?v=aircAruvnKk|interactive:TensorFlow tutorial|url:https://www.tensorflow.org/tutorials,Artificial Intelligence
web_html_css,HTML & CSS Basics,Web Development;HTML;CSS,,1,6,article:MDN HTML guide|url:https://developer.mozilla.org/en-US/docs/Learn/HTML|video:HTML & CSS Full Course (freeCodeCamp)|url:https://www.youtube.com/watch?v=mU6anWqZJcc|interactive:freeCodeCamp responsive web design|url:https://www.freecodecamp.org/learn/responsive-web-design/,Web Development
js_basics,JavaScript Essentials,Web Development;JavaScript;frontend,web_html_css,2,8,article:MDN JavaScript Guide|url:https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide|video:JavaScript Tutorial (freeCodeCamp)|url:https://www.youtube.com/watch?v=PkZNo7MFNFg|interactive:JSFiddle|url:https://jsfiddle.net/,Web Development
react_intro,React.js Fundamentals,Web Development;React;frontend,js_basics,3,10,article:React official docs|url:https://reactjs.org/docs/getting-started.html|video:React Crash Course (Traversy Media)|url:https://www.youtube.com/watch?v=w7ejDZ8SWv8|interactive:Create React App tutorial|url:https://create-react-app.dev/docs/getting-started/,Web Development
node_intro,Node.js & Backend Basics,Web Development;Node.js;backend,js_basics,3,9,article:Node.js Guide|url:https://nodejs.org/en/docs/guides/|video:Node.js Crash Course|url:https://www.youtube.com/watch?v=Oe421EPjeBE|interactive:Express tutorial|url:https://expressjs.com/en/starter/installing.html,Web Development
web_project,Full-stack Project: ToDo App,Web Development;Project;React,react_intro;node_intro,2,8,interactive:Build a ToDo App (freeCodeCamp)|url:https://www.freecodecamp.org/news/build-a-todo-app-react/|video:ToDo App tutorial|url:https://www.youtube.com/watch?v=H1elmMBnykA|article:Guide to full-stack apps|url:https://developer.mozilla.org/en-US/docs/Learn/Server-side,Web Development
biomaterials_intro,Biomaterials Overview,Biomaterials;Biomedical,,2,6,article:Biomaterials (Wikipedia)|url:https://en.wikipedia.org/wiki/Biomaterial|video:Intro to Biomaterials (MIT OCW)|url:https://www.youtube.com/watch?v=9sG3bm0Qe6g|article:Biomaterials review|url:https://www.sciencedirect.com/topics/materials-science/biomaterial,Biomaterials
tissue_engineering,Tissue Engineering Basics,Biomaterials;Tissue Engineering,biomaterials_intro,3,8,article:Tissue engineering (Wikipedia)|url:https://en.wikipedia.org/wiki/Tissue_engineering|video:Tissue Engineering Lecture (MIT OCW)|url:https://www.youtube.com/watch?v=2s9u0YHcZ7g|interactive:PubMed tutorial|url:https://pubmed.ncbi.nlm.nih.gov/,Biomaterials
biomaterials_methods,Characterization Methods,Biomaterials;Lab Techniques,biomaterials_intro,4,8,article:Material characterization overview|url:https://en.wikipedia.org/wiki/Material_characterization|video:Materials characterization techniques|url:https://www.youtube.com/watch?v=FfGq1KJY9sY|article:SEM basics|url:https://www.sciencedirect.com/topics/engineering/scanning-electron-microscopy,Biomaterials
biomaterials_app,Biomaterials Applications & Case Studies,Biomaterials;Applications,tissue_engineering,4,6,article:Biomaterials applications review|url:https://www.nature.com/subjects/biomaterials|video:Case studies in biomaterials|url:https://www.youtube.com/watch?v=QeZ1s5q6fdY|article:Clinical translations|url:https://www.ncbi.nlm.nih.gov/pmc/,Biomaterials
medical_imaging_intro,Introduction to Medical Imaging,Medical Imaging;Radiology,,2,6,article:Medical imaging (Wikipedia)|url:https://en.wikipedia.org/wiki/Medical_imaging|video:Medical Imaging Basics|url:https://www.youtube.com/watch?v=3r3vGxW6aXw|interactive:Radiopaedia case studies|url:https://radiopaedia.org/,Medical Imaging
image_processing,Image Processing & Analysis,Medical Imaging;Image Processing;Computer Vision,medical_imaging_intro,3,10,article:Digital Image Processing summary|url:https://en.wikipedia.org/wiki/Digital_image_processing|video:OpenCV tutorial|url:https://www.youtube.com/watch?v=oXlwWbU8l2o|interactive:OpenCV docs|url:https://opencv.org/,Medical Imaging
